Date,Open,High,Low,Close,Volume
2023-01-01,100.00,102.50,99.50,101.25,1000000
2023-01-02,101.25,103.75,100.75,102.50,1200000
2023-01-03,102.50,105.00,101.50,104.25,1100000
2023-01-04,104.25,106.75,103.25,105.75,1300000
2023-01-05,105.75,108.25,104.75,107.50,1400000
2023-01-06,107.50,110.00,106.50,109.25,1500000
2023-01-07,109.25,111.75,108.25,110.75,1600000
2023-01-08,110.75,113.25,109.75,112.25,1700000
2023-01-09,112.25,114.75,111.25,113.75,1800000
2023-01-10,113.75,116.25,112.75,115.25,1900000
2023-01-11,115.25,117.75,114.25,116.75,2000000
2023-01-12,116.75,119.25,115.75,118.25,2100000
2023-01-13,118.25,120.75,117.25,119.75,2200000
2023-01-14,119.75,122.25,118.75,121.25,2300000
2023-01-15,121.25,123.75,120.25,122.75,2400000
2023-01-16,122.75,125.25,121.75,124.25,2500000
2023-01-17,124.25,126.75,123.25,125.75,2600000
2023-01-18,125.75,128.25,124.75,127.25,2700000
2023-01-19,127.25,129.75,126.25,128.75,2800000
2023-01-20,128.75,131.25,127.75,130.25,2900000
2023-01-21,130.25,132.75,129.25,131.75,3000000
2023-01-22,131.75,134.25,130.75,133.25,3100000
2023-01-23,133.25,135.75,132.25,134.75,3200000
2023-01-24,134.75,137.25,133.75,136.25,3300000
2023-01-25,136.25,138.75,135.25,137.75,3400000
2023-01-26,137.75,140.25,136.75,139.25,3500000
2023-01-27,139.25,141.75,138.25,140.75,3600000
2023-01-28,140.75,143.25,139.75,142.25,3700000
2023-01-29,142.25,144.75,141.25,143.75,3800000
2023-01-30,143.75,146.25,142.75,145.25,3900000
2023-01-31,145.25,147.75,144.25,146.75,4000000
2023-02-01,146.75,149.25,145.75,148.25,4100000
2023-02-02,148.25,150.75,147.25,149.75,4200000
2023-02-03,149.75,152.25,148.75,151.25,4300000
2023-02-04,151.25,153.75,150.25,152.75,4400000
2023-02-05,152.75,155.25,151.75,154.25,4500000
2023-02-06,154.25,156.75,153.25,155.75,4600000
2023-02-07,155.75,158.25,154.75,157.25,4700000
2023-02-08,157.25,159.75,156.25,158.75,4800000
2023-02-09,158.75,161.25,157.75,160.25,4900000
2023-02-10,160.25,162.75,159.25,161.75,5000000
2023-02-11,161.75,164.25,160.75,163.25,5100000
2023-02-12,163.25,165.75,162.25,164.75,5200000
2023-02-13,164.75,167.25,163.75,166.25,5300000
2023-02-14,166.25,168.75,165.25,167.75,5400000
2023-02-15,167.75,170.25,166.75,169.25,5500000
2023-02-16,169.25,171.75,168.25,170.75,5600000
2023-02-17,170.75,173.25,169.75,172.25,5700000
2023-02-18,172.25,174.75,171.25,173.75,5800000
2023-02-19,173.75,176.25,172.75,175.25,5900000
2023-02-20,175.25,177.75,174.25,176.75,6000000
2023-02-21,176.75,179.25,175.75,178.25,6100000
2023-02-22,178.25,180.75,177.25,179.75,6200000
2023-02-23,179.75,182.25,178.75,181.25,6300000
2023-02-24,181.25,183.75,180.25,182.75,6400000
2023-02-25,182.75,185.25,181.75,184.25,6500000
2023-02-26,184.25,186.75,183.25,185.75,6600000
2023-02-27,185.75,188.25,184.75,187.25,6700000
2023-02-28,187.25,189.75,186.25,188.75,6800000 
